0	1.000000
1	0.501282
2	0.129471
3	-0.055366
4	-0.089061
5	-0.047491
6	-0.008302
7	0.006471
8	-0.001831
9	-0.002991
10	0.002930
11	0.002625
12	0.003174
13	0.006348
14	0.007630
15	0.003602
16	-0.000916
17	-0.011415
18	-0.011903
19	-0.010499
20	0.000122
21	0.006409
22	0.010438
23	0.008241
24	-0.001465
25	-0.005921
26	0.003968
27	0.004212
28	0.006959
29	-0.001282
30	0.001770
31	0.005738
32	0.002320
33	-0.004639
34	-0.005250
35	0.000977
36	0.003846
37	0.007020
38	0.000000
39	-0.002442
40	-0.005067
41	-0.001831
42	0.012880
43	0.016970
44	0.009767
45	-0.002442
46	-0.013490
47	-0.004700
48	0.000122
49	0.007081
50	0.006837
51	0.007691
52	0.012453
53	0.017947
54	0.019961
55	0.005677
56	-0.006532
57	-0.009645
58	0.000488
59	0.015016
60	0.011781
61	0.004517
62	0.004944
63	0.008668
64	0.006837
