0	1.000000
1	0.057380
2	-0.000855
3	-0.003052
4	-0.002136
5	-0.000855
6	-0.005067
7	0.006348
8	-0.000305
9	-0.004883
10	-0.007630
11	-0.003174
12	0.008546
13	0.005067
14	0.005494
15	-0.006287
16	-0.002442
17	-0.003113
18	-0.003846
19	0.004517
20	-0.000855
21	0.003235
22	0.001099
23	-0.009401
24	-0.008180
25	0.004578
26	-0.001709
27	-0.000916
28	0.007936
29	0.003174
30	0.005128
31	0.006715
32	-0.003540
33	0.007691
34	0.001221
35	0.004639
36	-0.015627
37	-0.007020
38	-0.000610
39	0.008668
40	0.003235
41	-0.003113
42	0.012941
43	0.005311
44	0.001526
45	-0.007997
46	0.002442
47	-0.004090
48	-0.001404
49	-0.004334
50	-0.004822
51	0.011171
52	0.005555
53	0.003663
54	0.004334
55	-0.003479
56	0.000733
57	-0.005616
58	-0.010438
59	0.011537
60	0.006471
61	-0.007142
62	-0.006165
63	0.004883
64	0.010255
